year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2013,Hyundai,Sonata Hybrid,4.5,automatic,Sedan,black,gray,13162,18450,43,18600
2013,Infiniti,G Coupe,4.1,automatic,G Coupe,â€”,black,13002,26100,43,26500
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,black,black,16486,23700,43,24000
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,white,black,11596,24300,43,26000
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,blue,black,16153,23700,43,24000
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,blue,black,9785,24500,16,23000
2013,Hyundai,Elantra,3.7,automatic,Sedan,white,black,13871,15100,43,15900
2013,Infiniti,G Coupe,3.6,automatic,G Coupe,gray,black,26843,24400,43,24250
2013,Infiniti,G Coupe,3.7,automatic,G Coupe,gray,black,18548,25400,43,25000
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,white,black,25016,22700,43,24750
2013,Hyundai,Genesis,4.3,automatic,Sedan,black,beige,11041,19800,43,12500
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,black,black,9535,24500,43,25000
2013,Hyundai,Sonata,2.5,automatic,Sedan,white,beige,40045,11900,43,12300
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,white,black,23481,22800,43,25750
2013,Hyundai,Sonata,3.3,automatic,Sedan,blue,gray,37499,12050,43,12400
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,gray,13273,24100,43,25750
2013,Hyundai,Sonata,3,automatic,Sedan,blue,gray,37060,12350,43,10100
2013,Hyundai,Santa Fe,5,automatic,SUV,silver,black,66,23100,26,20800
2013,Hyundai,Accent,2,automatic,Sedan,gold,beige,35828,9600,43,6700
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,gray,black,20408,23500,24,24000
2013,Hyundai,Sonata,3.9,automatic,Sedan,â€”,beige,36564,12450,43,12400
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,gray,black,16833,23600,12,24750
2013,Hyundai,Elantra,3.6,automatic,Sedan,silver,â€”,40079,11250,43,11300
2013,Infiniti,G Coupe,4.5,automatic,G Coupe,gray,black,16219,25700,20,26500
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,gray,black,20070,23300,43,22000
2013,Infiniti,G Sedan,3.9,automatic,G Sedan,gray,gray,13632,24000,42,22000
2013,Infiniti,G Coupe,3.9,automatic,G Coupe,white,black,6802,26900,3,23250
2013,Infiniti,G Sedan,4.2,automatic,G Sedan,white,black,20432,23200,23,24250
2013,Hyundai,Elantra,1,automatic,Sedan,brown,beige,24120,11950,43,5200
2013,Infiniti,G Sedan,4.7,automatic,G Sedan,â€”,beige,17203,23900,6,24750
2013,Hyundai,Sonata,4.8,automatic,Sedan,blue,gray,10241,15100,43,16900
2013,Hyundai,Elantra,1,automatic,Sedan,gray,gray,41710,11150,43,7700
2013,Hyundai,Sonata,3.9,automatic,Sedan,white,beige,25895,12850,8,12900
2013,Jeep,Wrangler,4.7,manual,SUV,red,gray,9153,34300,43,35250
2013,Kia,Optima,4.4,automatic,Sedan,white,beige,16045,16000,7,16800
2013,Nissan,Altima,3.6,automatic,Sedan,red,beige,37136,12900,43,13800
2013,Mercedes-Benz,S-Class,3.6,automatic,Sedan,black,black,4811,55100,42,45500
2013,Nissan,Altima,3.2,automatic,Sedan,black,black,62381,11700,43,11900
2013,Lexus,GS 350,3.6,automatic,Sedan,white,white,39590,32100,43,32100
2013,Mitsubishi,Outlander,3.9,automatic,SUV,silver,black,36071,14750,28,15000
2013,Kia,Optima,4.6,automatic,Sedan,black,black,11757,16050,43,16500
2013,Mercedes-Benz,C-Class,4.2,automatic,Coupe,â€”,black,20705,26700,43,25750
2013,Kia,Optima,4.4,automatic,Sedan,black,black,24131,21200,43,21250
2013,Nissan,Altima,2,automatic,Sedan,black,black,38766,12850,43,12100
2013,Nissan,Altima,4.4,automatic,Sedan,silver,black,44303,12550,41,13000
2013,Infiniti,G Sedan,3.6,automatic,G Sedan,gray,black,36931,21300,43,22250
2013,Nissan,Altima,4.3,automatic,Sedan,silver,black,38974,12800,43,13600
2013,Jeep,Wrangler,3.1,automatic,SUV,black,black,41173,27100,43,27000
2013,Mazda,Mazda2,2,automatic,Hatchback,black,black,24252,9825,31,9100
2013,Nissan,Altima,4,automatic,Sedan,red,black,37020,13400,24,13600
2013,Kia,Rio,2.8,automatic,Sedan,silver,black,31406,9775,43,8900
2013,Mercedes-Benz,C-Class,4.5,automatic,Sedan,white,black,20161,23100,23,25000
2013,Kia,Optima,2.2,automatic,Sedan,black,gray,14061,14150,43,11700
2013,Nissan,Altima,3.7,automatic,Sedan,black,black,47601,12600,43,12200
2013,Mazda,Mazda2,3.5,automatic,Hatchback,red,black,44392,8475,43,8500
2013,Infiniti,M,4.6,automatic,Sedan,â€”,black,10808,33900,43,33500
2013,Kia,Optima,4.2,automatic,Sedan,black,gray,19543,15900,43,16100
2013,Nissan,370Z,4.3,automatic,Convertible,silver,black,445,29800,43,28750
2013,Kia,Soul,2.8,automatic,Wagon,black,black,48270,11250,14,11000
2013,Kia,Sorento,4.4,automatic,SUV,silver,gray,48050,15700,43,12750
2013,Kia,Rio,4,automatic,Sedan,black,beige,36667,9375,43,9800
2013,Kia,Soul,1,manual,Wagon,silver,black,11699,11400,43,6900
2013,Mitsubishi,Outlander Sport,2.7,automatic,SUV,blue,black,37713,15650,43,14000
2013,Mercedes-Benz,C-Class,2.8,automatic,Sedan,black,black,31978,22000,43,21000
2013,Mercedes-Benz,SLK-Class,4.4,automatic,Convertible,black,â€”,8470,44700,43,37000
2013,Lexus,ES 350,3.8,automatic,Sedan,gray,black,24478,28900,42,27750
2013,Mercedes-Benz,E-Class,2.5,automatic,Sedan,black,black,4995,35400,43,31750
2013,Mazda,Mazda3,3.6,automatic,Sedan,gray,black,54715,9900,7,10600
2013,MINI,Cooper Clubman,3.7,automatic,Hatchback,green,beige,36498,13550,43,13600
2013,MINI,Cooper,2.8,automatic,Hatchback,blue,â€”,7273,15300,43,15000
2013,Mercedes-Benz,S-Class,3.9,,Sedan,black,black,16426,52600,43,54250
2013,Mazda,CX-9,3.8,automatic,SUV,red,black,46733,19150,29,20500
2013,Infiniti,G Sedan,4,automatic,G Sedan,gray,black,33838,21600,43,20250
2013,Nissan,Altima,1,automatic,Coupe,black,black,33985,13700,43,8000
2013,Kia,Forte,4.3,automatic,Sedan,black,gray,54978,7050,43,9200
2013,Mazda,CX-9,3.6,automatic,SUV,gray,black,44289,19050,43,20000
2013,Kia,Sorento,4.7,automatic,SUV,burgundy,black,20209,21700,43,21500
2013,Nissan,Altima,3.5,automatic,Sedan,red,black,38688,12850,38,13500
2013,Nissan,Altima,3.3,automatic,Sedan,charcoal,black,40931,12750,43,13500
2013,Nissan,Altima,4.1,automatic,Sedan,silver,black,39364,12800,26,13500
2013,Jeep,Compass,4.1,automatic,SUV,white,black,32090,12600,43,13900
2013,Nissan,370Z,3.8,automatic,Coupe,black,black,10506,23600,43,21500
2013,Nissan,Altima,4.4,automatic,Coupe,gray,black,10510,15650,43,15500
2013,Mazda,Mazda3,3,automatic,Sedan,black,black,47917,9100,43,9600
2013,Infiniti,JX,3.7,automatic,SUV,gray,beige,37738,32000,43,32250
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,gray,black,19683,23300,2,26000
2013,Lexus,RX 350,3.8,automatic,SUV,gray,â€”,29353,32000,43,29600
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,white,black,37527,21700,43,23000
2013,Kia,Optima,4.2,automatic,Sedan,black,black,14012,22200,39,22200
2013,Nissan,Altima,3.9,automatic,Sedan,white,beige,37395,13150,43,13400
2013,Kia,Rio,4.6,manual,Hatchback,red,black,4668,14050,23,14200
2013,Nissan,Altima,3.5,automatic,Sedan,black,black,35900,12950,43,13500
2013,Lexus,RX 450h,4.3,automatic,SUV,burgundy,â€”,27970,37300,43,30500
2013,Nissan,Altima,3.8,automatic,Sedan,white,black,38395,12850,42,13100
2013,Kia,Soul,2,manual,Wagon,black,black,59886,10200,43,7000
2013,Land Rover,LR4,4.4,automatic,SUV,gray,black,2059,58500,43,42000
2013,Kia,Optima,2,automatic,Sedan,burgundy,beige,24614,16200,38,10600
2013,Mazda,Mazda5,3.5,automatic,Minivan,red,gray,39272,11300,43,12400
2013,Kia,Rio,2,automatic,Hatchback,red,black,4850,10650,43,6300
2013,Nissan,Altima,4.5,automatic,Sedan,white,beige,48463,12350,43,14000
2013,Infiniti,G Sedan,3.8,automatic,G Sedan,gray,black,23642,23300,43,23000
2013,Mazda,Mazda3,2,automatic,Sedan,black,black,45649,10250,43,10000
2013,Infiniti,G Coupe,3.5,automatic,G Coupe,gray,black,10055,26300,43,27000
2013,Infiniti,M,4.1,automatic,Sedan,white,black,9338,34700,43,34500
2013,Kia,Forte,2.7,automatic,Sedan,gray,black,55885,9175,43,8800
2013,Mazda,CX-9,2.9,automatic,SUV,gray,black,41807,18850,43,19900
2013,Nissan,Altima,3.5,automatic,Coupe,gray,black,42938,12400,43,13300
2013,Kia,Optima,4.9,automatic,Sedan,white,gray,19078,15950,43,16500
2013,MINI,Cooper,3.5,automatic,Hatchback,green,black,36000,12750,43,13700
2013,Mazda,Mazda5,2.9,automatic,Minivan,gray,black,40275,12050,43,12200
2013,Lexus,GS 350,3.4,automatic,Sedan,beige,brown,17786,34500,43,33000
2013,Kia,Rio,2,automatic,Sedan,black,beige,45800,8550,43,3850
2013,Land Rover,Range Rover Evoque,4.8,automatic,SUV,blue,black,25524,35400,43,35500
2013,MINI,Cooper,1.2,automatic,Hatchback,black,black,28156,13400,43,2500
2013,Nissan,Altima,4.4,automatic,Sedan,gray,beige,45685,12550,43,13200
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,black,gray,48156,19800,42,22250
2013,Kia,Rio,1.9,manual,Sedan,white,beige,22658,9225,24,5500
2013,Kia,Rio,2.6,automatic,Sedan,white,black,13508,9475,36,7500
2013,Jeep,Compass,2.7,automatic,SUV,red,black,31688,12650,40,13000
2013,Mitsubishi,Outlander,3.5,automatic,SUV,gray,black,39473,14300,40,14700
2013,Infiniti,G Sedan,4.3,manual,G Sedan,gray,black,21898,25400,43,26250
2013,Mercedes-Benz,C-Class,3.5,automatic,Coupe,gray,black,10782,26000,43,26000
2013,Infiniti,G Coupe,4.2,automatic,G Coupe,â€”,black,46120,21600,43,23500
2013,Lexus,LS 460,4.9,automatic,Sedan,gold,beige,71,66000,43,64000
2013,Mercedes-Benz,S-Class,4.4,automatic,Sedan,black,black,14557,53000,43,51500
2013,Kia,Optima,4.4,automatic,Sedan,gray,black,18554,15950,43,15700
2013,Mitsubishi,Outlander,3.8,automatic,SUV,silver,black,36990,14550,43,14800
2013,Mercedes-Benz,GLK-Class,3.4,automatic,SUV,gray,black,21052,29500,43,25500
2013,Nissan,Altima,2.4,automatic,Sedan,gray,black,35591,13600,38,12700
2013,Jeep,Wrangler,4.3,automatic,SUV,black,black,41997,24200,43,25250
2013,Kia,Sportage,2.5,automatic,SUV,gray,gray,40331,15050,43,15200
2013,Nissan,Altima,3.6,automatic,Sedan,white,white,40425,13200,43,12500
2013,Kia,Optima,4.8,automatic,Sedan,silver,gray,8177,14450,43,15300
2013,Jeep,Grand Cherokee,4.3,automatic,SUV,black,black,39566,25200,43,26750
2013,Mercedes-Benz,C-Class,3.7,automatic,Coupe,black,beige,18960,25300,43,22750
2013,Kia,Optima,4.1,automatic,Sedan,white,beige,21258,15900,43,16400
2013,Kia,Forte,2,automatic,Sedan,black,gray,81410,6775,43,2700
2013,Kia,Optima,4.4,automatic,Sedan,white,black,20984,15900,26,16500
2013,Kia,Optima,3.3,automatic,Sedan,brown,beige,26360,13450,43,13300
2013,Kia,Optima,3.8,,Sedan,purple,gray,17689,13900,43,14800
2013,Infiniti,G Sedan,3.8,automatic,G Sedan,gray,gray,46548,20700,36,21000
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,gray,black,35450,21400,43,23000
2013,Mercedes-Benz,E-Class,4.7,automatic,Sedan,â€”,black,28463,36900,40,36250
2013,Mercedes-Benz,S-Class,3.6,automatic,Sedan,black,black,24168,55300,26,56250
2013,Lincoln,MKX,4.3,automatic,SUV,burgundy,tan,39459,24700,36,24500
2013,Land Rover,Range Rover,3.5,automatic,SUV,white,tan,25808,31700,43,30000
2013,Mazda,Mazda5,4.5,automatic,Minivan,white,beige,7787,14200,24,14000
2013,lincoln,mkt,4.1,automatic,,black,black,74874,19300,43,17750
2013,Infiniti,G Sedan,4.3,manual,G Sedan,black,black,13149,27100,43,28250
2013,Lexus,GS 350,3.5,automatic,Sedan,silver,black,21189,34200,42,31900
2013,Jaguar,XF,4.2,automatic,Sedan,black,tan,10067,33700,20,26000
2013,Mercedes-Benz,C-Class,4.3,automatic,Sedan,white,black,23615,22600,43,22250
2013,Kia,Soul,3,automatic,Wagon,black,black,39476,11400,36,6000
2013,Kia,Optima,4.2,automatic,Sedan,white,beige,13929,14150,43,14300
2013,Nissan,Altima,4,automatic,Sedan,silver,black,39159,12800,43,13500
2013,Nissan,Altima,4,automatic,Sedan,gray,black,37182,12900,43,13300
2013,Mercedes-Benz,C-Class,4.1,automatic,Coupe,black,black,19780,25300,43,23750
2013,Kia,Optima,4.3,automatic,Sedan,white,black,21642,15900,43,16600
2013,Mercedes-Benz,GL-Class,4.2,automatic,SUV,gray,black,26853,46200,26,48000
2013,Mazda,Mazda5,3.5,automatic,Minivan,gray,tan,36898,12400,43,13100
2013,Kia,Sportage,4.6,automatic,SUV,blue,black,32685,14000,43,15250
2013,Mercedes-Benz,GL-Class,4.3,automatic,SUV,silver,black,16584,47300,43,46750
2013,Jaguar,XF,5,automatic,Sedan,blue,gray,6891,34100,43,26000
2013,Kia,Rio,4.1,automatic,Hatchback,black,black,11342,10500,43,12000
2013,Mercedes-Benz,M-Class,5,automatic,SUV,silver,black,6536,40400,43,42750
2013,MINI,Cooper Countryman,3.9,automatic,Wagon,silver,black,41357,16300,43,16500
2013,Infiniti,G Sedan,3.7,automatic,G Sedan,black,â€”,44723,20900,43,20401
2013,Kia,Sorento,3.3,automatic,SUV,black,beige,71662,14050,43,14000
2013,Mercedes-Benz,S-Class,3.5,automatic,Sedan,black,black,38407,53300,24,54000
2013,Nissan,Altima,3.4,automatic,Coupe,red,black,36975,13000,43,13500
2013,Kia,Sorento,4.3,automatic,SUV,blue,black,28790,16800,43,13500
2013,Nissan,Altima,3.5,automatic,Coupe,white,black,38530,13200,42,13600
2013,Mercedes-Benz,M-Class,3.5,,SUV,,,32532,36100,43,34500
2013,Land Rover,Range Rover Evoque,4.6,automatic,SUV,white,black,9214,37400,22,39000
2013,Kia,Forte,3.7,automatic,Sedan,white,beige,39081,8075,43,8500
2013,Kia,Optima,3.7,automatic,Sedan,silver,gray,35707,12900,43,13300
2013,Mercedes-Benz,S-Class,4.2,automatic,Sedan,black,black,38691,47900,43,48000
2013,Nissan,Altima,4,automatic,Sedan,silver,black,38666,12850,26,13300
2013,Jeep,Wrangler,3.7,automatic,SUV,black,black,42482,24200,43,25000
2013,Land Rover,Range Rover Evoque,5,automatic,SUV,gray,black,5403,38600,7,30500
2013,Mazda,CX-9,4.5,automatic,SUV,black,black,40884,18800,2,19600
2013,Mazda,Mazda2,3.5,automatic,Hatchback,white,black,37317,8625,43,2600
2013,Mercedes-Benz,S-Class,4.1,automatic,Sedan,black,black,33776,49500,29,46500
2013,Nissan,Altima,3.7,automatic,Sedan,black,tan,43262,12750,43,13400
2013,Infiniti,G Sedan,2.9,automatic,G Sedan,black,black,42887,21300,43,19900
2013,Infiniti,G Sedan,4.3,automatic,G Sedan,blue,black,40101,21600,43,20250
2013,Infiniti,M,4.2,automatic,Sedan,silver,black,6787,34600,43,33500
2013,Mercedes-Benz,C-Class,4.1,automatic,Coupe,â€”,black,16486,25600,43,23500
2013,Mazda,Mazda3,3.8,automatic,Sedan,blue,black,39573,10650,43,11800
2013,Infiniti,G Sedan,2.4,automatic,G Sedan,black,black,42547,20500,43,17250
2013,Kia,Optima,4.4,automatic,Sedan,white,gray,67229,18300,43,19000
2013,Mercedes-Benz,C-Class,3.7,automatic,Coupe,black,tan,23783,24900,43,22500
2013,Lexus,RX 350,4.6,automatic,SUV,burgundy,black,21932,36200,8,37750
2013,Nissan,Altima,3.5,automatic,Sedan,black,black,45568,12550,43,12000
2013,Mercedes-Benz,C-Class,4.3,automatic,Sedan,white,black,22984,22800,25,21750
2013,Mazda,Mazda5,3.9,automatic,Minivan,gray,black,37664,11750,43,13000
2013,Mitsubishi,Lancer,3.6,automatic,Sedan,blue,black,27059,19600,43,18900
2013,Infiniti,G Coupe,3.5,manual,G Coupe,black,black,19058,27300,43,28750
2013,MINI,Cooper Clubman,3.8,automatic,Hatchback,white,black,36764,13500,43,14000
2013,Mercedes-Benz,S-Class,4.4,automatic,Sedan,black,black,10862,57200,43,57250
2013,Mazda,Mazda5,4.4,automatic,Minivan,black,black,14818,13850,43,15000
2013,Mercedes-Benz,C-Class,4.3,automatic,Sedan,black,gray,23941,22600,43,21750
2013,Kia,Optima,3.6,automatic,Sedan,gray,black,11238,22400,43,23000
2013,Nissan,Altima,3.8,automatic,Sedan,gray,black,38444,12850,14,13500
2013,Infiniti,M,4.3,automatic,Sedan,silver,black,9810,34600,43,30000
2013,Nissan,Altima,4.1,automatic,Sedan,white,beige,21968,13650,43,13750
2013,Mercedes-Benz,C-Class,2.5,automatic,Coupe,â€”,black,10972,46700,43,36500
2013,Kia,Forte,3.7,automatic,Sedan,gray,gray,33980,10200,43,10400
2013,Kia,Rio,3,automatic,Sedan,red,gray,37213,8725,43,9500
2013,Infiniti,G Sedan,3.3,automatic,G Sedan,â€”,black,38131,21600,43,20000
2013,Kia,Optima,2.3,automatic,Sedan,red,black,38247,19850,43,17000
2013,Land Rover,Range Rover Sport,3.7,automatic,SUV,black,gray,26757,61000,43,60000
2013,Lexus,ES 350,3.6,automatic,Sedan,gray,beige,20880,29400,43,29300
2013,Mercedes-Benz,E-Class,4.7,automatic,Sedan,gray,black,31064,31000,43,30750
2013,Mercedes-Benz,E-Class,4.5,automatic,Coupe,white,gray,19538,33200,43,32250
2013,Lexus,GS 350,3.8,automatic,Sedan,black,gray,42813,31900,43,31000
2013,Infiniti,M,4.5,automatic,Sedan,black,black,8691,34800,43,33500
2013,Kia,Optima,3.6,automatic,Sedan,black,black,30333,20600,36,19900
2013,Mitsubishi,Outlander,4.1,automatic,SUV,brown,black,40498,14200,43,14600
2013,Mitsubishi,Lancer,2.8,automatic,Sedan,red,black,38311,9900,43,10100
2013,Infiniti,G Sedan,3,automatic,G Sedan,â€”,black,59042,19300,43,18801
2013,Mercedes-Benz,E-Class,4.7,automatic,Sedan,white,black,10616,34700,43,34750
2013,Infiniti,G Sedan,4.4,automatic,G Sedan,black,black,32635,21700,43,21750
2013,Lexus,GS 350,4.6,automatic,Sedan,gold,brown,22672,34500,43,34500
2013,Mercedes-Benz,C-Class,3.9,automatic,Sedan,silver,â€”,22514,43600,32,42750
2013,MINI,Cooper,3.9,automatic,Hatchback,red,black,42973,12400,43,12500
2013,Volkswagen,Passat,1,automatic,Sedan,white,black,22907,14450,20,8000
2013,Nissan,Altima,4,automatic,Sedan,â€”,black,24498,14350,43,14500
2013,Toyota,Corolla,1,automatic,Sedan,black,gray,34915,11400,43,9200
2013,Volvo,XC60,4.3,automatic,SUV,white,black,34933,21200,43,22900
2013,Toyota,Sienna,3.5,automatic,Minivan,gray,tan,49188,17150,43,18000
2013,Nissan,Juke,4.3,automatic,Hatchback,gray,black,38134,13750,6,14400
2013,Toyota,Yaris,2,automatic,Hatchback,white,gray,28412,9775,42,7800
2013,Nissan,Sentra,1.5,,Sedan,silver,black,73267,10600,43,9100

