year,make,model,condition,transmission,body,color,interior,odometer,mmr,Vacant,sellingprice
2014,Buick,Enclave,1,automatic,SUV,gray,black,14599,31000,43,24100
2014,BMW,M5,3.8,automatic,Sedan,white,black,13386,67000,43,65000
2014,BMW,M5,4.1,automatic,Sedan,white,black,15161,66000,43,65801
2014,Audi,TTS,2.8,automatic,Coupe,silver,black,3996,41400,22,34250
2015,Hyundai,Elantra,2,automatic,Sedan,red,gray,10551,13850,1,10600
2014,BMW,4 Series,3.7,automatic,Coupe,white,black,18152,31000,43,39750
2015,Kia,Sorento,4.6,automatic,SUV,silver,black,13452,20600,43,21500
2014,Chevrolet,Cruze,4.1,automatic,Sedan,black,black,37938,12950,43,13700
2014,Chevrolet,Cruze,4.2,automatic,Sedan,blue,black,39623,13350,43,13200
2014,Chevrolet,Silverado 2500HD,3.6,,Crew Cab,white,gray,8742,34000,40,34000
2015,Kia,Sorento,5,automatic,SUV,gray,gray,16348,20500,43,20500
2015,Hyundai,Elantra,3.5,automatic,Sedan,blue,gray,9750,13700,42,10000
2015,Hyundai,Elantra,3.5,automatic,Sedan,silver,gray,3367,13900,18,13200
2014,Acura,MDX,4.9,automatic,SUV,white,gray,21523,39500,43,41500
2015,Ford,Fusion,1,automatic,Sedan,white,black,4205,14700,7,12000
2014,BMW,6 Series,3.7,automatic,Convertible,silver,black,8891,68000,10,67200
2014,Chevrolet,Cruze,2,automatic,Sedan,silver,black,8154,14150,24,10000
2014,Chevrolet,Silverado 1500,3.7,automatic,Crew Cab,black,black,6726,26900,43,30250
2014,Chevrolet,Cruze,3.7,automatic,Sedan,silver,black,36771,13000,43,13600
2015,Kia,Sorento,4.9,automatic,SUV,burgundy,beige,9552,20800,43,21000
2014,Chevrolet,Cruze,1,automatic,Sedan,red,black,10673,14150,43,3300
2015,Volvo,V60,3.7,automatic,Wagon,white,beige,14806,30700,5,30000
2014,Chevrolet,Camaro,4.4,manual,Coupe,white,black,7924,17850,43,18500
2015,Nissan,Altima,1,automatic,Sedan,gray,black,12752,14600,43,9500
2014,BMW,6 Series,3.8,automatic,Convertible,silver,â€”,19499,63000,43,62000
2015,Hyundai,Elantra,1,automatic,Sedan,blue,gray,6759,13800,43,5800
2014,BMW,5 Series,4.8,automatic,Sedan,white,black,12292,46300,43,46500
2014,BMW,6 Series,3.7,automatic,Convertible,white,black,15727,66000,36,65000
2015,Kia,Sorento,4.9,automatic,SUV,white,black,13711,20600,1,21750
2014,Cadillac,SRX,4.4,automatic,SUV,white,black,8683,33500,43,30000
2014,BMW,X5,5,automatic,SUV,white,black,4503,57500,43,57250
2015,Hyundai,Elantra,2,automatic,Sedan,silver,gray,7800,13800,43,9000
2014,Chevrolet,Cruze,2.8,,Sedan,gray,black,40393,11450,43,11700
2014,Chevrolet,Silverado 1500,4,automatic,Crew Cab,white,black,9685,31700,42,30000
2015,Kia,Sorento,5,automatic,SUV,burgundy,black,10615,20700,43,20500
2015,Kia,Sorento,4.8,automatic,SUV,purple,black,13031,20600,43,20750
2014,Acura,ILX,4.1,automatic,Sedan,silver,gray,12905,19950,29,20400
2015,Kia,Sorento,4.8,automatic,SUV,gray,black,16611,20500,43,20750
2015,Volvo,V60,4.1,automatic,Wagon,white,beige,12273,31200,42,30000
2014,Chevrolet,Camaro,2,automatic,Coupe,black,black,11204,21900,20,10250
2014,Chevrolet,Cruze,4.2,automatic,Sedan,gray,brown,40560,12800,43,12800
2015,Hyundai,Elantra,4.5,automatic,Sedan,white,gray,5335,13850,43,6600
2013,Infiniti,G Coupe,4.5,automatic,G Coupe,white,black,14716,25900,36,25000
2013,Infiniti,G Sedan,4.6,automatic,G Sedan,black,black,68,25700,24,27250
2013,Infiniti,G Sedan,4.5,automatic,G Sedan,white,black,24112,22800,43,22500
2013,Infiniti,G Coupe,4.7,automatic,G Coupe,black,black,4859,27200,43,26750
